income per capita,city
"$134,387.00",Hunts Point
"$129,137.00",Yarrow Point
"$106,393.00",Medina
"$102,990.00",Methow
"$89,107.00",Clyde Hill
"$75,396.00",Mercer Island
"$75,235.00",Beaux Arts Village
"$74,210.00",Tokeland
"$72,857.00",Woodway
"$65,464.00",Raft Island
"$64,805.00",Canterwood
"$61,657.00",Lake Marcel-Stillwater
"$61,360.00",Union Hill-Novelty Hill
"$60,843.00",Cottage Lake
"$56,662.00",Sammamish
"$56,639.00",Ames Lake
"$56,494.00",Dash Point
"$55,093.00",Newcastle
"$54,404.00",Bainbridge Island
"$53,828.00",Lake Holm
"$51,750.00",Union
"$51,227.00",Tanner
"$51,067.00",Woodinville
"$50,787.00",Redmond
"$50,405.00",Bellevue
"$49,532.00",Issaquah
"$49,506.00",Normandy Park
"$49,263.00",Lake Forest Park
"$48,902.00",Kirkland
"$48,885.00",Snoqualmie
"$48,235.00",Wollochet
"$47,812.00",Chico
"$47,536.00",Maple Heights-Lake Desire
"$46,908.00",Clearview
"$46,440.00",Fox Island
"$45,975.00",Lake Bosworth
"$45,434.00",Ruston
"$45,252.00",Bay View
"$45,166.00",Mirrormont
"$44,902.00",Three Lakes
"$44,762.00",Silvana
"$44,705.00",Maltby
"$44,676.00",Mukilteo
"$44,555.00",Cherry Grove
"$44,167.00",Seattle
"$43,804.00",Ravensdale
"$43,646.00",Big Lake
"$43,580.00",Mill Creek
"$42,988.00",Four Lakes
"$42,879.00",Alger
"$42,575.00",Felida
"$42,433.00",Edmonds
"$42,250.00",Wilderness Rim
"$42,233.00",Pacific Beach
"$42,129.00",Vashon
"$41,837.00",Bothell East
"$41,823.00",Gig Harbor
"$41,778.00",High Bridge
"$41,619.00",Seabeck
"$41,592.00",Anderson Island
"$41,365.00",Maplewood
"$40,613.00",Shadow Lake
"$40,557.00",Bell Hill
"$40,540.00",Meadowdale
"$40,456.00",Brier
"$40,441.00",Hobart
"$40,296.00",Artondale
"$40,174.00",Lake Ketchum
"$39,948.00",Riverbend
"$39,735.00",Cathcart
"$39,734.00",Lofall
"$39,641.00",Point Roberts
"$39,417.00",Mill Creek East
"$39,387.00",Kenmore
"$39,228.00",Ronald
"$39,184.00",Port Ludlow
"$38,900.00",Fairwood
"$38,841.00",Bothell
"$38,805.00",Duvall
"$38,645.00",Lake Tapps
"$38,339.00",Sunnyslope
"$38,310.00",Bunk Foss
"$38,245.00",Walla Walla East
"$38,212.00",Picnic Point
"$38,106.00",Woods Creek
"$38,095.00",Lake Morton-Berrydale
"$37,912.00",Camas
"$37,869.00",Mount Vista
"$37,615.00",Mcmillin
"$36,947.00",Steilacoom
"$36,600.00",Silver Firs
"$36,556.00",Summitview
"$36,460.00",North Bend
"$36,447.00",Maple Valley
"$36,298.00",Richland
"$36,168.00",Warm Beach
"$36,162.00",Keyport
"$36,060.00",Lochsloy
"$35,884.00",Sisco Heights
"$35,764.00",Clinton
"$35,748.00",Nile
"$35,574.00",Snoqualmie Pass
"$35,563.00",Cavalero
"$35,556.00",East Renton Highlands
"$35,485.00",Geneva
"$35,229.00",Edgewood
"$35,224.00",Monroe North
"$34,819.00",Eastmont
"$34,660.00",Milton
"$34,653.00",Bothell West
"$34,603.00",Fall City
"$34,455.00",Fobes Hill
"$34,391.00",Verlot
"$34,218.00",Hansville
"$34,207.00",Lake Shore
"$34,111.00",Shoreline
"$34,077.00",Kapowsin
"$33,986.00",Ridgefield
"$33,958.00",Clear Lake CDP
"$33,824.00",Danville
"$33,744.00",Markham
"$33,723.00",Barberton
"$33,489.00",Rocky Point
"$33,431.00",West Richland
"$33,427.00",Meadow Glade
"$33,300.00",Montesano
"$33,242.00",Chain Lake
"$33,182.00",Sudden Valley
"$33,107.00",Anacortes
"$33,007.00",Blaine
"$33,005.00",Metaline
"$32,985.00",Cliffdell
"$32,911.00",Wauna
"$32,885.00",Quilcene
"$32,827.00",West Pasco
"$32,802.00",Lewisville
"$32,763.00",Indianola
"$32,625.00",Waller
"$32,464.00",Southworth
"$32,457.00",Summit
"$32,372.00",Dupont
"$32,301.00",Black Diamond
"$32,157.00",Covington
"$32,136.00",Renton
"$32,104.00",University Place
"$32,042.00",Lakeview
"$32,016.00",Aberdeen Gardens
"$32,007.00",Fircrest
"$31,989.00",Manchester
"$31,981.00",Martha Lake
"$31,909.00",Skykomish
"$31,823.00",Silverdale
"$31,765.00",Clarkston Heights-Vineland
"$31,721.00",Rosedale
"$31,687.00",Venersborg
"$31,665.00",Marblemount
"$31,582.00",Larch Way
"$31,529.00",East Cathlamet
"$31,524.00",Tumwater
"$31,338.00",Washtucna
"$31,318.00",Krupp
"$31,129.00",Bonney Lake
"$30,951.00",Fife Heights
"$30,948.00",Puyallup
"$30,924.00",Liberty Lake
"$30,872.00",Langley
"$30,824.00",Suquamish
"$30,810.00",Birch Bay
"$30,715.00",Esperance
"$30,644.00",Ashford
"$30,590.00",Bryant
"$30,577.00",Lakeland South
"$30,517.00",Lake Cassidy
"$30,419.00",Lakeland North
"$30,371.00",Machias
"$30,354.00",Sunday Lake
"$30,324.00",Alderwood Manor
"$30,206.00",Olympia
"$30,104.00",Mountlake Terrace
"$30,044.00",Freeland
"$29,973.00",Clover Creek
"$29,961.00",Starbuck
"$29,878.00",Terrace Heights
"$29,823.00",Bethel
"$29,815.00",Coupeville
"$29,788.00",Longview Heights
"$29,785.00",Colton
"$29,642.00",Salmon Creek
"$29,612.00",Port Townsend
"$29,610.00",Mckenna
"$29,390.00",Bryn Mawr-Skyway
"$29,359.00",Green Bluff
"$29,323.00",Carnation
"$29,269.00",Bickleton
"$29,221.00",Fern Prairie
"$29,178.00",North Sultan
"$29,128.00",Alderton
"$29,080.00",Grapeview
"$29,053.00",Crocker
"$29,040.00",Clear Lake
"$29,040.00",Metaline Falls
"$29,023.00",Friday Harbor
"$29,022.00",Roy
"$28,981.00",North Bonneville
"$28,924.00",Electric City
"$28,824.00",Willapa
"$28,779.00",South Hill
"$28,747.00",Washougal
"$28,723.00",Rockport
"$28,715.00",Hockinson
"$28,674.00",Harrington
"$28,669.00",Allyn
"$28,611.00",Kingston
"$28,601.00",Maple Falls
"$28,556.00",Rochester
"$28,546.00",Stansberry Lake
"$28,536.00",La Center
"$28,473.00",Graham
"$28,210.00",Burbank
